City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Jatai,BR,2021-10-22 03:45:15,-17.8814,-51.7144,69.85,72,18,4.16
104,Amapa,BR,2021-10-22 03:45:15,1.0,-52.0,72.9,93,100,2.13
105,Methoni,GR,2021-10-22 03:45:16,36.8197,21.7049,63.21,72,9,11.72
106,Caravelas,BR,2021-10-22 03:40:51,-17.7125,-39.2481,72.12,92,100,8.14
107,Galle,LK,2021-10-22 03:40:50,6.0367,80.217,82.92,75,47,7.99
108,Mercedes,AR,2021-10-22 03:41:33,-34.6515,-59.4307,68.86,68,8,11.86
109,Ballater,GB,2021-10-22 03:45:17,57.0493,-3.0402,45.39,91,92,15.52
110,Przhevalskoye,RU,2021-10-22 03:45:17,55.5093,31.8482,48.34,76,81,13.82
111,Nanortalik,GL,2021-10-22 03:41:32,60.1432,-45.2371,42.01,63,100,5.88
112,East London,ZA,2021-10-22 03:44:46,-33.0153,27.9116,67.14,94,0,6.91
113,Kolpashevo,RU,2021-10-22 03:45:18,58.3131,82.9089,41.43,92,100,11.56
114,Boddam,GB,2021-10-22 03:45:18,57.4667,-1.7833,45.39,72,58,32.08
115,Los Llanos De Aridane,ES,2021-10-22 03:45:18,28.6585,-17.9182,69.55,86,90,1.01
116,Sao Miguel Do Araguaia,BR,2021-10-22 03:45:19,-13.275,-50.1628,79.84,68,97,2.68
117,Harrai,IN,2021-10-22 03:45:19,22.6167,79.2167,77.34,44,0,4.76
118,Saint Anthony,US,2021-10-22 03:43:59,45.0205,-93.218,40.24,76,1,0.0
119,Jumla,NP,2021-10-22 03:40:43,29.2747,82.1838,63.54,52,0,3.76
120,Port-Gentil,GA,2021-10-22 03:45:20,-0.7193,8.7815,77.32,86,100,14.97
121,Jalu,LY,2021-10-22 03:43:36,29.0331,21.5482,66.61,49,2,8.1
122,Sarh,TD,2021-10-22 03:45:21,9.1429,18.3923,75.11,83,0,0.0
123,Dalvik,IS,2021-10-22 03:43:33,65.9702,-18.5286,30.13,81,61,10.71
124,Luau,AO,2021-10-22 03:45:21,-10.7073,22.2247,66.13,94,100,1.92
125,La Palma,US,2021-10-22 03:44:44,33.8464,-118.0467,72.01,80,20,4.61
126,Buraydah,SA,2021-10-22 03:45:22,26.326,43.975,68.45,41,0,6.53
127,Saint-Augustin,CA,2021-10-22 03:40:33,51.226,-58.6502,37.06,69,38,7.67
128,Dawlatabad,AF,2021-10-22 03:45:22,36.4141,64.9053,48.13,36,25,5.35
129,Horki,BY,2021-10-22 03:45:22,54.2861,30.9842,48.72,73,43,20.83
130,Madaoua,NE,2021-10-22 03:45:23,14.073,5.96,84.31,37,86,4.09
131,Pichayevo,RU,2021-10-22 03:45:23,53.2363,42.2032,48.99,71,87,17.34
132,Hambantota,LK,2021-10-22 03:45:23,6.1241,81.1185,84.54,84,20,6.91
133,Bengkulu,ID,2021-10-22 03:45:24,-3.8004,102.2655,82.17,73,100,3.87
134,Visnes,NO,2021-10-22 03:45:24,59.3556,5.2242,42.85,70,20,25.32
135,Torbay,CA,2021-10-22 03:45:25,47.6666,-52.7314,45.57,79,75,17.27
136,Hofn,IS,2021-10-22 03:44:32,64.2539,-15.2082,31.96,59,33,8.59
137,Pisco,PE,2021-10-22 03:45:25,-13.7,-76.2167,62.02,82,0,6.91
138,Curico,CL,2021-10-22 03:45:25,-34.9833,-71.2333,55.51,76,100,0.0
139,Sisimiut,GL,2021-10-22 03:45:26,66.9395,-53.6735,25.03,85,20,11.16
140,Verkhnyaya Inta,RU,2021-10-22 03:45:26,65.9811,60.3094,29.8,70,100,13.6
141,Mindelo,CV,2021-10-22 03:45:27,16.8901,-24.9804,76.55,83,11,20.71
142,Santa Maria Da Boa Vista,BR,2021-10-22 03:45:27,-8.8078,-39.8256,79.72,64,99,9.42
143,Shelburne,CA,2021-10-22 03:45:09,44.0787,-80.2041,48.76,98,100,13.06
144,Lasa,IT,2021-10-22 03:44:15,46.6166,10.7002,46.62,90,12,3.51
145,Mapiripan,CO,2021-10-22 03:45:30,2.8892,-72.1256,73.22,94,100,3.78
146,Luchenza,MW,2021-10-22 03:45:30,-16.0069,35.3095,67.12,65,36,4.14
147,Grand Gaube,MU,2021-10-22 03:45:31,-20.0064,57.6608,77.38,72,44,7.0
148,Praia,CV,2021-10-22 03:43:23,14.9215,-23.5087,79.34,65,0,12.66
149,Carnarvon,AU,2021-10-22 03:45:31,-24.8667,113.6333,75.27,53,0,19.57
150,Fillan,NO,2021-10-22 03:45:32,63.6064,8.9696,42.39,73,100,16.8
151,Kisangani,CD,2021-10-22 03:45:32,0.5167,25.2,68.09,100,100,2.33
152,Kulhudhuffushi,MV,2021-10-22 03:45:33,6.6221,73.07,81.32,78,60,5.86
153,Rondonopolis,BR,2021-10-22 03:45:33,-16.4708,-54.6356,77.09,72,13,3.4
154,Beloha,MG,2021-10-22 03:45:33,-25.1667,45.05,66.96,60,36,6.51
155,Saldanha,ZA,2021-10-22 03:45:19,-33.0117,17.9442,59.05,83,100,19.37
156,Tazovskiy,RU,2021-10-22 03:44:37,67.4667,78.7,25.99,96,100,5.23
157,Villa Bruzual,VE,2021-10-22 03:45:36,9.3328,-69.1208,72.72,93,27,3.67
158,Nakonde,ZM,2021-10-22 03:45:37,-9.3421,32.745,59.16,87,92,3.69
159,Salinopolis,BR,2021-10-22 03:42:05,-0.6136,-47.3561,79.83,82,61,7.7
160,Nalut,LY,2021-10-22 03:45:37,30.3333,10.85,66.96,44,3,13.78
161,Balkanabat,TM,2021-10-22 03:45:38,39.5108,54.3671,52.77,34,1,6.6
162,Lebu,CL,2021-10-22 03:45:38,-37.6167,-73.65,48.27,78,0,13.24
163,Basse-Pointe,MQ,2021-10-22 03:45:38,14.8695,-61.115,80.65,42,12,21.72
164,Marzuq,YE,2021-10-22 03:45:38,14.4,46.4667,72.43,31,92,3.89
165,Kaniama,CD,2021-10-22 03:45:39,-7.5667,24.1833,64.0,98,100,2.82
166,Totness,SR,2021-10-22 03:45:39,5.8833,-56.3167,74.79,93,100,5.61
167,Khapa,IN,2021-10-22 03:45:40,21.4333,78.9667,78.75,52,3,2.08
168,Tacoronte,ES,2021-10-22 03:45:40,28.4769,-16.4102,67.26,82,90,17.0
169,Gwadar,PK,2021-10-22 03:45:40,25.1216,62.3254,78.57,71,1,1.7
170,Kuryk,KZ,2021-10-22 03:45:41,43.2,51.65,57.29,82,70,18.81
171,Muisne,EC,2021-10-22 03:45:41,0.6,-80.0333,75.06,88,100,8.75
172,Sayyan,YE,2021-10-22 03:45:41,15.1718,44.3244,54.66,41,23,8.14
173,Maceio,BR,2021-10-22 03:45:42,-9.6658,-35.7353,78.24,94,40,3.44
174,Vila Velha,BR,2021-10-22 03:43:12,-20.3297,-40.2925,67.95,77,75,3.44
175,Boa Vista,BR,2021-10-22 03:43:07,2.8197,-60.6733,78.78,78,75,4.61
176,Tarkwa,GH,2021-10-22 03:45:42,5.3064,-1.9847,73.15,98,100,1.48
177,Najran,SA,2021-10-22 03:45:43,17.4924,44.1277,63.25,28,24,3.0
178,Garbolovo,RU,2021-10-22 03:45:43,60.3413,30.4955,47.32,75,100,20.78
179,Hornepayne,CA,2021-10-22 03:45:43,49.2138,-84.7705,31.77,97,98,6.98
180,Pisticci,IT,2021-10-22 03:45:44,40.3906,16.5568,60.13,90,87,1.88
181,Ipixuna,BR,2021-10-22 03:45:44,-1.7625,-48.8043,78.75,95,64,3.56
182,Kumluca,TR,2021-10-22 03:45:44,36.3703,30.2869,65.21,61,0,4.7
183,Antipovka,RU,2021-10-22 03:45:45,49.8299,45.3122,46.98,65,88,17.13
184,Andenes,NO,2021-10-22 03:45:45,69.3143,16.1194,37.38,60,75,25.32
185,Pechora,RU,2021-10-22 03:45:45,65.1472,57.2244,29.07,92,100,13.33
186,Tiznit,MA,2021-10-22 03:45:46,29.5833,-9.5,63.3,66,0,0.81
187,Kamenka,RU,2021-10-22 03:45:46,51.3223,42.7678,47.59,70,86,18.48
188,Ondjiva,AO,2021-10-22 03:45:47,-17.0667,15.7333,59.59,31,41,6.04
189,Havelock,US,2021-10-22 03:45:47,34.8791,-76.9013,73.38,82,1,1.01
190,Bay Roberts,CA,2021-10-22 03:45:47,47.5999,-53.2648,46.33,79,7,3.0
191,Cururupu,BR,2021-10-22 03:45:48,-1.8283,-44.8683,75.49,92,71,2.77
192,Bageshwar,IN,2021-10-22 03:45:48,29.85,79.7667,70.59,68,1,2.15
193,Saint George,US,2021-10-22 03:42:58,37.1041,-113.5841,67.35,40,1,1.99
194,Mecca,SA,2021-10-22 03:45:34,21.4267,39.8261,79.68,41,59,2.86
195,Margate,GB,2021-10-22 03:45:49,51.3813,1.3862,42.96,78,1,21.09
196,Khandbari,NP,2021-10-22 03:45:50,27.3747,87.2039,70.68,83,68,2.42
197,Hvolsvollur,IS,2021-10-22 03:43:08,63.7533,-20.2243,33.82,57,95,2.91
198,Coihaique,CL,2021-10-22 03:45:50,-45.5752,-72.0662,39.15,81,0,1.14
199,Opuwo,NA,2021-10-22 03:45:51,-18.0607,13.84,59.83,31,72,3.74
200,Ivanteyevka,RU,2021-10-22 03:45:51,55.9711,37.9208,55.69,76,96,15.14
201,Msanga,TZ,2021-10-22 03:45:51,-6.05,36.0333,65.64,77,67,5.7
202,Thessalon,CA,2021-10-22 03:45:52,46.2501,-83.5666,37.69,71,1,10.45
203,Kanker,IN,2021-10-22 03:45:52,20.2719,81.4931,79.36,46,35,2.21
204,Basoko,CD,2021-10-22 03:45:52,1.2391,23.616,69.19,97,100,1.88
205,Marawi,PH,2021-10-22 03:45:53,7.9986,124.2928,73.65,84,84,5.66
206,Deep River,CA,2021-10-22 03:41:50,46.1001,-77.4995,47.95,93,100,10.25
207,Kavaratti,IN,2021-10-22 03:45:53,10.5669,72.642,81.81,78,100,8.79
208,Mossendjo,CG,2021-10-22 03:45:53,-2.9506,12.7261,69.26,100,100,1.14
209,Arraial Do Cabo,BR,2021-10-22 03:45:54,-22.9661,-42.0278,66.58,69,96,6.08
210,Korhogo,CI,2021-10-22 03:45:54,9.45,-5.6333,71.44,94,51,3.71
211,Sioux Lookout,CA,2021-10-22 03:45:54,50.1001,-91.917,35.67,75,75,4.61
212,Kedrovyy,RU,2021-10-22 03:45:55,56.1667,91.8167,43.21,49,98,7.02
213,Ajdabiya,LY,2021-10-22 03:42:18,30.7554,20.2263,67.59,50,55,7.85
214,Surskoye,RU,2021-10-22 03:45:55,54.4821,46.7214,48.79,79,100,17.47
215,Banda Aceh,ID,2021-10-22 03:45:56,5.5577,95.3222,80.67,76,100,0.65
216,Cidreira,BR,2021-10-22 03:45:56,-30.1811,-50.2056,63.45,88,1,11.27
217,Mollendo,PE,2021-10-22 03:45:57,-17.0231,-72.0147,61.68,81,56,7.99
218,Zlitan,LY,2021-10-22 03:45:57,32.4674,14.5687,70.83,76,90,12.57
219,Blagoyevo,RU,2021-10-22 03:45:58,63.3667,47.9167,38.66,99,100,6.98
220,Schwerin,DE,2021-10-22 03:45:58,53.6294,11.4132,44.58,95,99,13.0
221,Quarai,BR,2021-10-22 03:45:59,-30.3875,-56.4514,54.73,83,0,8.03
222,Carauari,BR,2021-10-22 03:45:59,-4.8828,-66.8958,73.11,94,99,2.1
223,Palmas Bellas,PA,2021-10-22 03:45:59,9.2319,-80.0867,79.11,87,26,2.73
224,Axim,GH,2021-10-22 03:45:59,4.8699,-2.2405,77.18,87,98,4.81
225,Karlskrona,SE,2021-10-22 03:46:00,56.1616,15.5866,41.45,71,27,23.31
226,Bonfim,BR,2021-10-22 03:46:00,3.0833,-59.95,75.2,90,91,3.91
227,Ahtopol,BG,2021-10-22 03:46:01,42.1,27.95,50.47,86,0,5.91
228,Uray,RU,2021-10-22 03:46:01,60.1247,64.7758,29.79,89,100,9.62
229,Morondava,MG,2021-10-22 03:46:02,-20.2833,44.2833,69.39,75,2,4.03
230,Westport,US,2021-10-22 03:46:03,41.1415,-73.3579,66.34,88,1,7.0
231,Araouane,ML,2021-10-22 03:46:03,18.9048,-3.5265,72.43,26,4,9.75
232,Mwinilunga,ZM,2021-10-22 03:46:04,-11.7358,24.4293,62.33,91,93,1.7
233,Mayumba,GA,2021-10-22 03:46:04,-3.432,10.6554,75.99,90,99,5.73
