City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
552,Matara,LK,83.95,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
553,Alexandria,EG,70.02,clear sky,31.2156,29.9553,Royal Crown Hotel
554,Mbandaka,CD,70.92,broken clouds,0.0487,18.2603,Guest House Epervier
555,Banfora,BF,73.9,light rain,10.6333,-4.7667,Residences David Hebié
556,Batticaloa,LK,80.64,broken clouds,7.7102,81.6924,Grand Star Guest House
561,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
570,Porbandar,IN,80.58,few clouds,21.6422,69.6093,Lords Inn Porbandar
571,Carauari,BR,78.13,overcast clouds,-4.8828,-66.8958,Hotel Fellip
572,Srisailam,IN,72.72,overcast clouds,16.0833,78.8667,Vasavi Satram
580,Pontes E Lacerda,BR,83.8,scattered clouds,-15.2261,-59.3353,Hotel Bressan
582,Surt,LY,77.68,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
585,Barao De Melgaco,BR,88.32,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
586,Canutama,BR,78.22,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
591,Alappuzha,IN,77.04,overcast clouds,9.49,76.3264,Panoramic Sea Resort
601,Camocim,BR,78.57,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
606,Edea,CM,72.48,overcast clouds,3.8,10.1333,Micotel Hotel
611,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
617,Oriximina,BR,76.6,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
625,Guaraciaba Do Norte,BR,70.32,overcast clouds,-4.1669,-40.7475,Gospel Fazenda Park Hotel
629,Road Town,VG,82.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
631,Port-Gentil,GA,77.52,overcast clouds,-0.7193,8.7815,Fengshui Residence
635,Cape Canaveral,US,81.99,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
639,Numan,NG,73.63,scattered clouds,9.4667,12.0333,Zangun Motel
641,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
642,Kapiri Mposhi,ZM,71.65,scattered clouds,-13.9652,28.6809,MA 22 LODGE
643,Gweta,BW,78.39,overcast clouds,-20.1833,25.2333,Gweta Lodge
644,Bolobo,CD,70.93,scattered clouds,-2.1667,16.2333,Hotel de Stephen
645,Cururupu,BR,75.78,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
646,Amet,IN,71.04,clear sky,25.3,73.9333,Nimit Mehta
647,Tiquisio,CO,74.37,overcast clouds,8.5597,-74.2669,Luis Florez
649,Muscat,OM,80.62,clear sky,23.6139,58.5922,Mutrah Hotel
653,Kerur,IN,72.93,overcast clouds,16.0167,75.5667,NOBLE ALLISAB GALAGALI
661,Samana,DO,77.61,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
663,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
664,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
665,Male,MV,82.42,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
666,Yabassi,CM,71.58,overcast clouds,4.457,9.9682,MOTEL FOMI
667,Farafangana,MG,72.75,broken clouds,-22.8167,47.8333,Miarina
669,Dhidhdhoo,MV,81.25,overcast clouds,6.8833,73.1,Dhidhoo beach
670,Camapua,BR,84.6,scattered clouds,-19.5314,-54.0439,Comercial Estrela
671,Grand-Santi,GF,73.72,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
673,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
674,Mazamari,PE,78.4,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
678,Bhuban,IN,81.9,scattered clouds,20.8833,85.8333,Prasanta Sahoo
679,Omboue,GA,74.98,overcast clouds,-1.5746,9.2618,Hotel Olako
681,Nouakchott,MR,75.13,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
686,Samfya,ZM,77.99,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
